feature,genuine_mean,genuine_std,deepfake_mean,deepfake_std,mean_difference,percent_difference,t_statistic,t_p_value,effect_size,u_p_value,ks_p_value,significant_t,significant_u,significant_ks
physics_delta_ft_revised,0.08182531850678576,0.026692465674941605,0.07637039882441357,0.024273717432262917,-0.005454919682372189,-6.666542559097785,0.961439377488189,0.3386975321574456,0.2098032725452785,0.33754554481068955,0.5527165605834472,False,False,False
physics_delta_fr_revised,7.209503786904471,0.2397615477388681,7.173222001393636,0.2763392251564595,-0.03628178551083483,-0.5032494133193743,0.6620341887837327,0.5095031113693667,0.14446770394048283,0.61693568013924,0.4823513837191177,False,False,False
physics_delta_fv_revised,1.635287286554064,0.693733973824337,1.5989540100097657,0.762539588799833,-0.0363332765442983,-2.2218283504705205,0.2329371194287075,0.8162960528270137,0.05083104675938195,0.7435187572132487,0.4171770171317863,False,False,False
physics_delta_f_total_revised,8.926616450718472,0.6759446934499803,8.848546441396078,0.8290191004791159,-0.07807000932239383,-0.8745755993146793,0.4937240650632134,0.6226057958933411,0.10773942383683227,0.3607717276771496,0.06759865158166942,False,False,False
